letterColor,corrAns,word,congruent,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,participant,age,frameRate,expName,date,gender (m/f)
blue,right,green,0,0,0,0,3,right,1,0.733783007,B29,21,59.87235579,stroop,2017_Aug_17_1529,f
red,left,red,1,0,1,1,0,left,1,0.566803932,B29,21,59.87235579,stroop,2017_Aug_17_1529,f
green,down,red,0,0,2,2,1,down,1,0.384963036,B29,21,59.87235579,stroop,2017_Aug_17_1529,f
green,down,green,1,0,3,3,2,down,1,0.449913979,B29,21,59.87235579,stroop,2017_Aug_17_1529,f
blue,right,blue,1,0,4,4,4,right,1,0.667442083,B29,21,59.87235579,stroop,2017_Aug_17_1529,f
red,left,blue,0,0,5,5,5,right,0,0.60185504,B29,21,59.87235579,stroop,2017_Aug_17_1529,f
green,down,green,1,1,0,6,2,down,1,0.767095089,B29,21,59.87235579,stroop,2017_Aug_17_1529,f
blue,right,green,0,1,1,7,3,left,0,0.485839844,B29,21,59.87235579,stroop,2017_Aug_17_1529,f
blue,right,blue,1,1,2,8,4,right,1,0.550228119,B29,21,59.87235579,stroop,2017_Aug_17_1529,f
red,left,blue,0,1,3,9,5,left,1,0.766968966,B29,21,59.87235579,stroop,2017_Aug_17_1529,f
green,down,red,0,1,4,10,1,down,1,0.8667202,B29,21,59.87235579,stroop,2017_Aug_17_1529,f
red,left,red,1,1,5,11,0,left,1,0.635663986,B29,21,59.87235579,stroop,2017_Aug_17_1529,f
green,down,red,0,2,0,12,1,down,1,0.635515928,B29,21,59.87235579,stroop,2017_Aug_17_1529,f
blue,right,green,0,2,1,13,3,right,1,0.46806097,B29,21,59.87235579,stroop,2017_Aug_17_1529,f
green,down,green,1,2,2,14,2,down,1,0.501636028,B29,21,59.87235579,stroop,2017_Aug_17_1529,f
red,left,red,1,2,3,15,0,left,1,0.834100008,B29,21,59.87235579,stroop,2017_Aug_17_1529,f
red,left,blue,0,2,4,16,5,left,1,0.434875965,B29,21,59.87235579,stroop,2017_Aug_17_1529,f
blue,right,blue,1,2,5,17,4,right,1,0.651514053,B29,21,59.87235579,stroop,2017_Aug_17_1529,f
red,left,red,1,3,0,18,0,left,1,0.817532063,B29,21,59.87235579,stroop,2017_Aug_17_1529,f
green,down,red,0,3,1,19,1,down,1,0.751526833,B29,21,59.87235579,stroop,2017_Aug_17_1529,f
blue,right,green,0,3,2,20,3,right,1,1.234731913,B29,21,59.87235579,stroop,2017_Aug_17_1529,f
blue,right,blue,1,3,3,21,4,right,1,0.568827868,B29,21,59.87235579,stroop,2017_Aug_17_1529,f
green,down,green,1,3,4,22,2,down,1,0.651021957,B29,21,59.87235579,stroop,2017_Aug_17_1529,f
red,left,blue,0,3,5,23,5,left,1,0.384939909,B29,21,59.87235579,stroop,2017_Aug_17_1529,f
blue,right,green,0,4,0,24,3,right,1,1.033957958,B29,21,59.87235579,stroop,2017_Aug_17_1529,f
red,left,blue,0,4,1,25,5,down,0,0.718015909,B29,21,59.87235579,stroop,2017_Aug_17_1529,f
green,down,red,0,4,2,26,1,down,1,0.866969109,B29,21,59.87235579,stroop,2017_Aug_17_1529,f
blue,right,blue,1,4,3,27,4,right,1,0.584862947,B29,21,59.87235579,stroop,2017_Aug_17_1529,f
red,left,red,1,4,4,28,0,left,1,0.617590904,B29,21,59.87235579,stroop,2017_Aug_17_1529,f
green,down,green,1,4,5,29,2,down,1,0.717468023,B29,21,59.87235579,stroop,2017_Aug_17_1529,f