cueSide,corrAns,targetX,cueOri,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,session,participant,congruent
left,right,500,-90,0,0,0,8,right,0.400789976,2017_Apr_13_1044,59.90852971,posner,1,JWP,0
right,left,-500,90,0,6,6,9,left,0.350956917,2017_Apr_13_1044,59.90852971,posner,1,JWP,0
right,left,-500,90,1,1,11,9,left,0.417621136,2017_Apr_13_1044,59.90852971,posner,1,JWP,0
left,right,500,-90,1,7,17,8,left,0.217814922,2017_Apr_13_1044,59.90852971,posner,1,JWP,0
left,left,-500,-90,0,1,1,4,left,0.250751019,2017_Apr_13_1044,59.90852971,posner,1,JWP,1
right,right,500,90,0,2,2,2,right,0.216866016,2017_Apr_13_1044,59.90852971,posner,1,JWP,1
left,left,-500,-90,0,3,3,5,left,0.200740099,2017_Apr_13_1044,59.90852971,posner,1,JWP,1
right,right,500,90,0,4,4,0,right,0.334019184,2017_Apr_13_1044,59.90852971,posner,1,JWP,1
right,right,500,90,0,5,5,3,right,0.300770998,2017_Apr_13_1044,59.90852971,posner,1,JWP,1
right,right,500,90,0,7,7,1,right,0.300776005,2017_Apr_13_1044,59.90852971,posner,1,JWP,1
left,left,-500,-90,0,8,8,7,left,0.367393017,2017_Apr_13_1044,59.90852971,posner,1,JWP,1
left,left,-500,-90,0,9,9,6,left,0.401082993,2017_Apr_13_1044,59.90852971,posner,1,JWP,1
left,left,-500,-90,1,0,10,5,left,0.334072113,2017_Apr_13_1044,59.90852971,posner,1,JWP,1
right,right,500,90,1,2,12,0,right,0.417965174,2017_Apr_13_1044,59.90852971,posner,1,JWP,1
left,left,-500,-90,1,3,13,4,left,0.500673056,2017_Apr_13_1044,59.90852971,posner,1,JWP,1
left,left,-500,-90,1,4,14,6,left,0.434880972,2017_Apr_13_1044,59.90852971,posner,1,JWP,1
right,right,500,90,1,5,15,1,right,0.250787973,2017_Apr_13_1044,59.90852971,posner,1,JWP,1
left,left,-500,-90,1,6,16,7,left,0.117763996,2017_Apr_13_1044,59.90852971,posner,1,JWP,1
right,right,500,90,1,8,18,2,right,0.318031788,2017_Apr_13_1044,59.90852971,posner,1,JWP,1
right,right,500,90,1,9,19,3,right,0.334597826,2017_Apr_13_1044,59.90852971,posner,1,JWP,1
left,left,-500,-90,2,0,20,5,left,0.200622082,2017_Apr_13_1044,59.90852971,posner,1,JWP,1
right,right,500,90,2,1,21,2,right,0.250598192,2017_Apr_13_1044,59.90852971,posner,1,JWP,1
right,right,500,90,2,2,22,3,right,0.267560005,2017_Apr_13_1044,59.90852971,posner,1,JWP,1
left,left,-500,-90,2,3,23,4,left,0.234539032,2017_Apr_13_1044,59.90852971,posner,1,JWP,1
left,left,-500,-90,2,4,24,6,left,0.217569113,2017_Apr_13_1044,59.90852971,posner,1,JWP,1